LastName,NumPeopleRace,RankRace,PercentRace,RankAll,NumPeopleAll
NGUYEN,"297,503",1,95.90%,57,"310,125"
LEE,"229,197",2,37.80%,22,"605,860"
KIM,"183,432",3,94.50%,109,"194,067"
PATEL,"132,547",4,91.40%,172,"145,066"
TRAN,"130,120",5,95.60%,188,"136,095"
CHEN,"100,742",6,95.50%,260,"105,544"
WONG,"87,962",7,88.50%,277,"99,392"
LE,"73,697",8,95.20%,368,"77,453"
YANG,"69,017",9,95.00%,397,72627
WANG,"63,833",10,94.50%,438,"67,570"
CHANG,"62,871",11,90.10%,424,"69,756"
CHAN,"59,811",12,91.00%,459,"65,719"
PHAM,"57,467",13,95.90%,498,59949
LI,"55,729",14,96.40%,519,57786
PARK,"54,293",15,66.30%,343,"81,890"
SINGH,"54,075",16,74.40%,396,"72,642"
LIN,"46,956",17,95.10%,624,"49,360"
LIU,"45,501",18,95.50%,650,47665
WU,"43,955",19,95.90%,683,45815
HUANG,"43,298",20,96.80%,697,44715
LAM,"38,824",21,87.50%,706,"44,385"
HUYNH,"38,479",22,96.20%,790,40011
HO,"37,616",23,93.10%,778,"40,413"
CHOI,"35,102",24,96.50%,872,36390
YU,"34,913",25,96.20%,874,36285
SHAH,"33,217",26,87.80%,831,"37,833"
CHUNG,"33,151",27,91.00%,870,36422
KHAN,"32,933",28,70.50%,665,"46,713"
ZHANG,"32,591",29,98.20%,963,33202
VANG,"30,037",30,92.90%,982,32333
TRUONG,"26,829",31,96.50%,1157,27808
NG,"25,879",32,94.00%,1168,27537
PHAN,"25,501",33,94.80%,1193,26903
LIM,"25,104",34,91.50%,1170,27433
XIONG,"24,940",35,94.70%,1219,26336
VU,"24,854",36,96.20%,1247,25828
CHENG,"24,743",37,95.10%,1238,26023
CHO,"24,184",38,95.60%,1277,25305
VO,"23,748",39,95.20%,1296,24956
TANG,"23,675",40,93.00%,1269,25446
NGO,"22,982",41,95.80%,1355,23980
CHU,"22,765",42,93.40%,1328,24381
LU,"21,996",43,95.70%,1424,22977
KANG,"21,786",44,92.50%,1380,23565
LY,"21,730",45,94.50%,1421,22990
HONG,"21,147",46,88.10%,1352,"24,017"
DANG,"20,660",47,94.10%,1490,21953
HOANG,"20,374",48,95.80%,1546,21269
DO,"20,139",49,94.90%,1551,21230
CHIN,"20,012",50,77.90%,1255,"25,673"
TAN,"19,691",51,91.30%,1530,21567
LAU,"19,618",52,76.60%,1259,"25,624"
BUI,"19,557",53,93.80%,1579,20852
KAUR,"19,496",54,89.30%,1501,21825
HAN,"18,406",55,90.60%,1617,"20,318"
MA,"17,888",56,94.00%,1726,19030
DUONG,"17,664",57,96.00%,1790,18404
LEUNG,"17,215",58,94.90%,1815,18140
YEE,"16,849",59,86.50%,1687,"19,483"
SONG,"16,033",60,95.10%,1962,16856
CHEUNG,"15,413",61,95.90%,2069,16067
ALI,"15,117",62,41.90%,876,"36,079"
SHIN,"15,028",63,94.80%,2099,15857
AHMED,"14,977",64,56.30%,1206,"26,607"
YI,"14,494",65,95.00%,2189,15254
THAO,"14,483",66,93.70%,2153,15463
LAI,"14,283",67,92.20%,2148,15490
HSU,"14,150",68,95.40%,2254,14838
FONG,"14,090",69,84.80%,2002,16614
REYES,"13,997",70,6.00%,81,"232,511"
SUN,"13,983",71,93.50%,2228,14962
CHOW,"13,924",72,89.00%,2124,15650
YOUNG,"13,745",73,2.90%,31,"465,948"
LIANG,"13,581",74,96.40%,2353,14095
LO,"13,361",75,91.90%,2292,14534
HWANG,"13,151",76,96.60%,2435,13610
SANTOS,"13,077",77,13.20%,279,"98,993"
CRUZ,"12,963",78,5.60%,82,"231,065"
OH,"12,789",79,95.70%,2477,13366
