LastName,NumPeopleRace,RankRace,PercentRace,RankAll,NumPeopleAll
GARCIA,"779,412",1,90.80%,8,"858,289"
RODRIGUEZ,"745,530",2,92.70%,9,"804,240"
MARTINEZ,"710,896",3,91.70%,11,"775,072"
HERNANDEZ,"662,648",4,93.80%,15,"706,372"
LOPEZ,"568,768",5,91.50%,21,"621,536"
GONZALEZ,"561,795",6,94.00%,23,"597,718"
PEREZ,"447,729",7,91.60%,29,"488,521"
SANCHEZ,"404,972",8,91.80%,33,"441,242"
RAMIREZ,"364,364",9,93.70%,42,"388,987"
TORRES,"296,424",10,91.20%,50,"325,169"
FLORES,"283,979",11,90.80%,55,"312,615"
RIVERA,"270,026",12,90.20%,59,"299,463"
GOMEZ,"240,289",13,91.20%,68,"263,590"
DIAZ,"229,666",14,91.20%,73,"251,772"
REYES,"202,052",15,86.90%,81,"232,511"
MORALES,"199,969",16,91.90%,90,"217,642"
CRUZ,"199,270",17,86.20%,82,"231,065"
ORTIZ,"198,260",18,92.40%,94,"214,683"
GUTIERREZ,"196,703",19,92.40%,96,"212,905"
CHAVEZ,"170,959",20,92.00%,118,"185,865"
RAMOS,"164,943",21,85.40%,112,"193,096"
GONZALES,"163,758",22,84.40%,110,"193,934"
RUIZ,"160,868",23,91.70%,129,"175,429"
ALVAREZ,"153,049",24,90.70%,132,"168,817"
MENDOZA,"149,300",25,88.60%,134,"168,567"
VASQUEZ,"147,926",26,92.50%,143,"159,989"
CASTILLO,"147,023",27,88.90%,135,"165,473"
JIMENEZ,"146,420",28,93.00%,147,"157,475"
MORENO,"132,896",29,91.00%,170,"146,088"
ROMERO,"132,444",30,86.10%,154,"153,772"
HERRERA,"129,425",31,91.90%,175,"140,786"
MEDINA,"125,557",32,90.10%,176,"139,353"
AGUILAR,"116,527",33,92.20%,213,"126,399"
GARZA,"114,783",34,92.50%,220,"124,130"
CASTRO,"113,959",35,85.50%,194,"133,254"
VARGAS,"113,763",36,91.80%,221,"123,952"
FERNANDEZ,"112,417",37,80.70%,178,"139,302"
GUZMAN,"109,736",38,92.70%,230,"118,390"
MUNOZ,"109,071",39,92.60%,232,"117,774"
MENDEZ,"104,394",40,92.60%,242,"112,736"
SALAZAR,"103,131",41,90.90%,240,"113,468"
SOTO,"98,388",42,92.30%,257,"106,631"
DELGADO,"90,051",43,91.30%,282,"98,675"
PENA,"90,035",44,91.60%,284,"98,345"
RIOS,"89,828",45,93.00%,285,"96,569"
ALVARADO,"87,697",46,93.60%,294,"93,723"
SANDOVAL,"87,308",47,90.70%,287,"96,303"
CONTRERAS,"86,869",48,93.80%,299,"92,660"
VALDEZ,"86,599",49,87.80%,283,"98,610"
GUERRERO,"85,980",50,91.30%,291,"94,152"
ORTEGA,"85,522",51,91.80%,296,"93,131"
ESTRADA,"85,080",52,91.70%,298,"92,831"
NUNEZ,"82,279",53,91.20%,306,"90,208"
MALDONADO,"81,811",54,93.00%,316,"88,016"
VEGA,"80,306",55,91.50%,318,"87,728"
VAZQUEZ,"80,272",56,94.50%,328,"84,926"
SANTIAGO,"79,341",57,87.20%,302,"90,967"
DOMINGUEZ,"76,555",58,91.40%,334,"83,731"
ESPINOZA,"74,793",59,94.30%,360,"79,322"
SILVA,"73,364",60,58.10%,214,"126,164"
PADILLA,"72,798",61,89.00%,345,"81,805"
MARQUEZ,"71,828",62,89.80%,357,"79,951"
CORTEZ,"68,611",63,88.50%,367,"77,492"
ROJAS,"68,183",64,93.30%,393,"73,071"
ACOSTA,"67,292",65,88.00%,377,"76,477"
FIGUEROA,"66,629",66,91.90%,398,"72,533"
LUNA,"65,911",67,86.60%,378,"76,127"
JUAREZ,"65,153",68,94.70%,429,"68,785"
NAVARRO,"64,036",69,86.60%,388,"73,970"
CAMPOS,"62,640",70,89.50%,420,"69,950"
MOLINA,"62,579",71,89.10%,417,"70,211"
AVILA,"62,461",72,89.40%,421,"69,843"
AYALA,"62,198",73,93.50%,449,"66,515"
MEJIA,"62,043",74,93.30%,448,"66,534"
CARRILLO,"61,757",75,92.10%,443,"67,054"
DURAN,"57,955",76,85.20%,434,"68,046"
SANTOS,"57,733",77,58.30%,279,"98,993"
SALINAS,"56,963",78,92.50%,490,"61,582"
ROBLES,"55,814",79,90.60%,489,"61,619"
SOLIS,"54,941",80,91.50%,497,"60,045"
LARA,"54,534",81,91.30%,501,"59,731"
CERVANTES,"54,507",82,94.50%,520,"57,685"
AGUIRRE,"53,922",83,91.50%,508,"58,918"
DELEON,"53,751",84,81.90%,460,"65,598"
OCHOA,"53,303",85,93.20%,523,"57,210"
MIRANDA,"52,899",86,78.20%,437,"67,646"
CARDENAS,"52,632",87,93.00%,529,"56,618"
TRUJILLO,"52,498",88,88.10%,504,"59,609"
VELASQUEZ,"52,167",89,91.30%,525,"57,163"
FUENTES,"51,655",90,91.50%,530,"56,441"
CABRERA,"51,288",91,89.70%,524,"57,171"
LEON,"50,651",92,81.70%,483,"62,034"
RIVAS,"50,456",93,92.40%,553,"54,588"
MONTOYA,"50,100",94,87.80%,526,"57,075"
CALDERON,"49,824",95,91.10%,550,"54,691"
COLON,"49,422",96,89.00%,539,"55,512"
SERRANO,"49,160",97,89.30%,545,"55,057"
GALLEGOS,"49,150",98,89.90%,551,"54,672"
ROSALES,"47,347",99,92.20%,595,"51,336"
CASTANEDA,"47,314",100,92.60%,600,"51,089"
VILLARREAL,"46,590",101,92.50%,613,"50,351"
GUERRA,"46,318",102,84.90%,554,"54,575"
TREVINO,"46,080",103,91.30%,612,"50,454"
PACHECO,"45,487",104,77.70%,512,"58,534"
IBARRA,"44,395",105,94.70%,662,"46,895"
VALENCIA,"44,033",106,88.00%,616,"50,026"
MACIAS,"43,766",107,93.60%,664,"46,739"
CAMACHO,"43,331",108,88.40%,630,"49,000"
SALAS,"43,294",109,89.70%,643,"48,282"
OROZCO,"43,056",110,95.10%,690,"45,289"
ROMAN,"41,692",111,70.60%,507,"59,020"
ZAMORA,"41,464",112,90.50%,684,"45,806"
SUAREZ,"41,213",113,87.30%,658,"47,235"
FRANCO,"41,019",114,77.20%,571,"53,161"
BARRERA,"40,236",115,92.00%,713,"43,720"
MERCADO,"40,070",116,86.30%,674,"46,437"
SANTANA,"39,983",117,91.10%,710,"43,875"
VALENZUELA,"39,034",118,89.20%,711,"43,770"
ESCOBAR,"38,900",119,90.60%,723,"42,955"
RANGEL,"38,841",120,92.80%,750,"41,868"
MELENDEZ,"38,785",121,92.00%,744,"42,139"
VELEZ,"38,688",122,90.40%,727,"42,820"
LOZANO,"38,642",123,90.80%,734,"42,567"
VELAZQUEZ,"37,984",124,94.90%,789,"40,030"
SMITH,"37,069",125,1.60%,1,"2,376,206"
ARIAS,"36,963",126,92.20%,787,"40,086"
MORA,"36,849",127,89.10%,759,"41,348"
DELACRUZ,"36,795",128,74.90%,629,"49,158"
GALVAN,"36,658",129,91.50%,788,"40,046"
ZUNIGA,"36,565",130,93.60%,804,"39,057"
CANTU,"36,021",131,91.00%,793,"39,601"
VILLANUEVA,"35,990",132,80.70%,703,"44,570"
MEZA,"35,677",133,94.70%,835,"37,662"
ACEVEDO,"35,414",134,92.60%,824,"38,232"
CISNEROS,"34,846",135,94.10%,850,"37,050"
ARROYO,"34,845",136,92.50%,833,"37,678"
PINEDA,"34,799",137,89.20%,806,"38,999"
ANDRADE,"34,751",138,74.40%,666,"46,702"
TAPIA,"34,549",139,92.90%,845,"37,201"
SOSA,"34,034",140,92.50%,859,"36,813"
VILLA,"33,984",141,86.20%,797,"39,402"
ROCHA,"33,336",142,79.10%,744,"42,139"
RUBIO,"33,028",143,90.40%,866,"36,531"
ZAVALA,"32,399",144,95.10%,938,"34,068"
MONTES,"32,320",145,91.80%,901,"35,196"
PONCE,"32,094",146,90.70%,895,"35,400"
BONILLA,"31,972",147,91.80%,908,"34,824"
ARELLANO,"31,930",148,91.20%,905,"34,999"
ROSARIO,"31,712",149,86.80%,865,"36,539"
DAVILA,"31,640",150,91.60%,924,"34,541"
VILLEGAS,"31,601",151,91.10%,917,"34,684"
HUERTA,"31,547",152,94.60%,959,"33,348"
MATA,"31,417",153,90.10%,907,"34,888"
BELTRAN,"31,089",154,89.50%,914,"34,736"
BARAJAS,"30,851",155,96.00%,989,"32,147"
BENITEZ,"30,803",156,92.10%,957,"33,441"
ESPARZA,"30,714",157,93.70%,971,"32,772"
CORDOVA,"29,925",158,85.30%,903,"35,074"
MURILLO,"29,768",159,93.10%,995,"31,964"
SALGADO,"29,375",160,92.90%,1012,"31,627"
ROSAS,"29,184",161,94.00%,1030,"31,050"
CUEVAS,"28,189",162,88.00%,993,"32,015"
PALACIOS,"28,124",163,93.00%,1057,"30,231"
GUEVARA,"27,889",164,90.40%,1039,"30,844"
QUINTERO,"27,858",165,93.00%,1070,"29,952"
