,articleNo,token (raw text),token (lowercase),lemma,POS,entity IOB,entity type
0,1,Foreigners,foreigners,foreigner,NNS,O,
1,1,guides,guides,guide,VBZ,O,
2,1,in,in,in,IN,O,
3,1,the,the,the,DT,O,
4,1,culture,culture,culture,NN,O,
5,1,of,of,of,IN,O,
6,1,printed,printed,print,VBN,O,
7,1,forms,forms,form,NNS,O,
8,1,:,:,:,:,O,
9,1,Spanish,spanish,Spanish,NNP,B,NORP
10,1,America,america,America,NNP,B,GPE
11,1,(,(,(,-LRB-,O,
12,1,1761,1761,1761,CD,B,DATE
13,1,-,-,-,SYM,I,DATE
14,1,1893,1893,1893,CD,I,DATE
15,1,),),),-RRB-,O,
16,2,Historical,historical,historical,JJ,O,
17,2,poetics,poetics,poetic,NNS,O,
18,2,and,and,and,CC,O,
19,2,the,the,the,DT,O,
20,2,definition,definition,definition,NN,O,
21,2,of,of,of,IN,O,
22,2,epic,epic,epic,JJ,O,
23,2,in,in,in,IN,O,
24,2,the,the,the,DT,B,DATE
25,2,eighteenth,eighteenth,eighteenth,JJ,I,DATE
26,2,century,century,century,NN,I,DATE
27,3,History,history,history,NN,O,
28,3,with,with,with,IN,O,
29,3,Feeling,feeling,feel,VBG,O,
30,3,The,the,the,DT,O,
31,3,case,case,case,NN,O,
32,3,of,of,of,IN,O,
33,3,Macmillan,macmillan,Macmillan,NNP,B,ORG
34,3,New,new,New,NNP,I,ORG
35,3,York,york,York,NNP,I,ORG
36,4,Nox,nox,Nox,NNP,O,
37,4,",",",",",",",",O,
38,4,Unboxed,unboxed,Unboxed,NNP,O,
39,4,:,:,:,:,O,
40,4,Anne,anne,Anne,NNP,B,PERSON
41,4,Carson,carson,Carson,NNP,I,PERSON
42,4,'s,'s,'s,POS,I,PERSON
43,4,Uncommon,uncommon,Uncommon,NNP,B,PERSON
44,4,Long,long,Long,NNP,I,PERSON
45,4,Verse,verse,Verse,NNP,I,PERSON
46,4,Epitaph,epitaph,Epitaph,NNP,I,PERSON
